V(m³/mol)	P(Pa)
5e-05	2.05931e+08
5.40404e-05	1.00145e+08
5.80808e-05	5.72913e+07
6.21212e-05	3.62478e+07
6.61616e-05	2.47905e+07
7.0202e-05	1.81448e+07
7.42424e-05	1.4127e+07
7.82828e-05	1.16301e+07
8.23232e-05	1.00506e+07
8.63636e-05	9.04157e+06
9.0404e-05	8.395e+06
9.44444e-05	7.98225e+06
9.84848e-05	7.7217e+06
0.000102525	7.56054e+06
0.000106566	7.46406e+06
0.000110606	7.4092e+06
0.000114646	7.38049e+06
0.000118687	7.36754e+06
0.000122727	7.36335e+06
0.000126768	7.36322e+06
0.000130808	7.36404e+06
0.000134848	7.36378e+06
0.000138889	7.36118e+06
0.000142929	7.35547e+06
0.00014697	7.34624e+06
0.00015101	7.33335e+06
0.000155051	7.31678e+06
0.000159091	7.29664e+06
0.000163131	7.27313e+06
0.000167172	7.24644e+06
0.000171212	7.21684e+06
0.000175253	7.18456e+06
0.000179293	7.14985e+06
0.000183333	7.11297e+06
0.000187374	7.07413e+06
0.000191414	7.03358e+06
0.000195455	6.9915e+06
0.000199495	6.9481e+06
0.000203535	6.90355e+06
0.000207576	6.85801e+06
0.000211616	6.81165e+06
0.000215657	6.76458e+06
0.000219697	6.71695e+06
0.000223737	6.66887e+06
0.000227778	6.62043e+06
0.000231818	6.57173e+06
0.000235859	6.52285e+06
0.000239899	6.47388e+06
0.000243939	6.42488e+06
0.00024798	6.37592e+06
0.00025202	6.32704e+06
0.000256061	6.2783e+06
0.000260101	6.22974e+06
0.000264141	6.1814e+06
0.000268182	6.13332e+06
0.000272222	6.08553e+06
0.000276263	6.03806e+06
0.000280303	5.99092e+06
0.000284343	5.94415e+06
0.000288384	5.89776e+06
0.000292424	5.85176e+06
0.000296465	5.80617e+06
0.000300505	5.76101e+06
0.000304545	5.71628e+06
0.000308586	5.67199e+06
0.000312626	5.62814e+06
0.000316667	5.58475e+06
0.000320707	5.54182e+06
0.000324747	5.49935e+06
0.000328788	5.45734e+06
0.000332828	5.4158e+06
0.000336869	5.37472e+06
0.000340909	5.33411e+06
0.000344949	5.29396e+06
0.00034899	5.25428e+06
0.00035303	5.21506e+06
0.000357071	5.1763e+06
0.000361111	5.13799e+06
0.000365152	5.10014e+06
0.000369192	5.06274e+06
0.000373232	5.02579e+06
0.000377273	4.98928e+06
0.000381313	4.9532e+06
0.000385354	4.91756e+06
0.000389394	4.88235e+06
0.000393434	4.84757e+06
0.000397475	4.81321e+06
0.000401515	4.77926e+06
0.000405556	4.74572e+06
0.000409596	4.71259e+06
0.000413636	4.67986e+06
0.000417677	4.64752e+06
0.000421717	4.61558e+06
0.000425758	4.58402e+06
0.000429798	4.55284e+06
0.000433838	4.52203e+06
0.000437879	4.49159e+06
0.000441919	4.46152e+06
0.00044596	4.43181e+06
0.00045	4.40245e+06
