V(m³/mol)	P(Pa)
5e-05	2.12882e+08
5.40404e-05	1.04592e+08
5.80808e-05	6.05608e+07
6.21212e-05	3.88327e+07
6.61616e-05	2.6928e+07
7.0202e-05	1.99668e+07
7.42424e-05	1.57147e+07
7.82828e-05	1.30369e+07
8.23232e-05	1.13135e+07
8.63636e-05	1.01873e+07
9.0404e-05	9.44345e+06
9.44444e-05	8.94863e+06
9.84848e-05	8.61793e+06
0.000102525	8.39612e+06
0.000106566	8.24668e+06
0.000110606	8.14517e+06
0.000114646	8.07506e+06
0.000118687	8.02512e+06
0.000122727	7.98768e+06
0.000126768	7.95749e+06
0.000130808	7.93102e+06
0.000134848	7.90588e+06
0.000138889	7.88047e+06
0.000142929	7.8538e+06
0.00014697	7.82525e+06
0.00015101	7.79446e+06
0.000155051	7.76129e+06
0.000159091	7.72571e+06
0.000163131	7.68778e+06
0.000167172	7.64763e+06
0.000171212	7.60539e+06
0.000175253	7.56126e+06
0.000179293	7.5154e+06
0.000183333	7.468e+06
0.000187374	7.41925e+06
0.000191414	7.36931e+06
0.000195455	7.31834e+06
0.000199495	7.26651e+06
0.000203535	7.21396e+06
0.000207576	7.16081e+06
0.000211616	7.10719e+06
0.000215657	7.05322e+06
0.000219697	6.999e+06
0.000223737	6.94461e+06
0.000227778	6.89015e+06
0.000231818	6.83568e+06
0.000235859	6.78129e+06
0.000239899	6.72702e+06
0.000243939	6.67293e+06
0.00024798	6.61908e+06
0.00025202	6.56551e+06
0.000256061	6.51225e+06
0.000260101	6.45934e+06
0.000264141	6.40681e+06
0.000268182	6.35469e+06
0.000272222	6.303e+06
0.000276263	6.25176e+06
0.000280303	6.20099e+06
0.000284343	6.1507e+06
0.000288384	6.10091e+06
0.000292424	6.05163e+06
0.000296465	6.00285e+06
0.000300505	5.95461e+06
0.000304545	5.90689e+06
0.000308586	5.8597e+06
0.000312626	5.81304e+06
0.000316667	5.76692e+06
0.000320707	5.72134e+06
0.000324747	5.6763e+06
0.000328788	5.63179e+06
0.000332828	5.58782e+06
0.000336869	5.54438e+06
0.000340909	5.50147e+06
0.000344949	5.45908e+06
0.00034899	5.41722e+06
0.00035303	5.37588e+06
0.000357071	5.33505e+06
0.000361111	5.29473e+06
0.000365152	5.25491e+06
0.000369192	5.21559e+06
0.000373232	5.17677e+06
0.000377273	5.13844e+06
0.000381313	5.10058e+06
0.000385354	5.06321e+06
0.000389394	5.0263e+06
0.000393434	4.98986e+06
0.000397475	4.95387e+06
0.000401515	4.91834e+06
0.000405556	4.88325e+06
0.000409596	4.84861e+06
0.000413636	4.81439e+06
0.000417677	4.78061e+06
0.000421717	4.74724e+06
0.000425758	4.71429e+06
0.000429798	4.68175e+06
0.000433838	4.64961e+06
0.000437879	4.61787e+06
0.000441919	4.58652e+06
0.00044596	4.55556e+06
0.00045	4.52497e+06
