V(m³/mol)	P(Pa)
1.20634e-05	-4.53807e+09
90.1711	29.5064
180.342	14.7532
270.513	9.83548
360.684	7.37661
450.855	5.90129
541.026	4.91774
631.197	4.21521
721.368	3.68831
811.539	3.27849
901.71	2.95065
991.881	2.6824
1082.05	2.45887
1172.22	2.26973
1262.39	2.1076
1352.57	1.9671
1442.74	1.84415
1532.91	1.73567
1623.08	1.63925
1713.25	1.55297
1803.42	1.47532
1893.59	1.40507
1983.76	1.3412
2073.93	1.28289
2164.11	1.22944
2254.28	1.18026
2344.45	1.13486
2434.62	1.09283
2524.79	1.0538
2614.96	1.01746
2705.13	0.983549
2795.3	0.951821
2885.47	0.922077
2975.64	0.894135
3065.82	0.867837
3155.99	0.843042
3246.16	0.819624
3336.33	0.797472
3426.5	0.776486
3516.67	0.756576
3606.84	0.737661
3697.01	0.71967
3787.18	0.702535
3877.35	0.686197
3967.53	0.670601
4057.7	0.655699
4147.87	0.641445
4238.04	0.627797
4328.21	0.614718
4418.38	0.602173
4508.55	0.590129
4598.72	0.578558
4688.89	0.567432
4779.07	0.556726
4869.24	0.546416
4959.41	0.536481
5049.58	0.526901
5139.75	0.517657
5229.92	0.508732
5320.09	0.500109
5410.26	0.491774
5500.43	0.483712
5590.6	0.475911
5680.78	0.468356
5770.95	0.461038
5861.12	0.453945
5951.29	0.447068
6041.46	0.440395
6131.63	0.433918
6221.8	0.42763
6311.97	0.421521
6402.14	0.415584
6492.31	0.409812
6582.49	0.404198
6672.66	0.398736
6762.83	0.393419
6853	0.388243
6943.17	0.383201
7033.34	0.378288
7123.51	0.373499
7213.68	0.368831
7303.85	0.364277
7394.03	0.359835
7484.2	0.355499
7574.37	0.351267
7664.54	0.347135
7754.71	0.343098
7844.88	0.339155
7935.05	0.335301
8025.22	0.331533
8115.39	0.32785
8205.56	0.324247
8295.74	0.320722
8385.91	0.317274
8476.08	0.313898
8566.25	0.310594
8656.42	0.307359
8746.59	0.30419
8836.76	0.301086
8926.93	0.298045
