V(m³/mol)	P(Pa)
0.05	46454.6
0.0540404	42988.7
0.0580808	40004.1
0.0621212	37407
0.0661616	35126.5
0.070202	33108.2
0.0742424	31309.1
0.0782828	29695.5
0.0823232	28240.1
0.0863636	26920.7
0.090404	25719.1
0.0944444	24620.1
0.0984848	23611.2
0.102525	22681.8
0.106566	21822.7
0.110606	21026.4
0.114646	20286.1
0.118687	19596.2
0.122727	18951.6
0.126768	18348.1
0.130808	17781.9
0.134848	17249.6
0.138889	16748.2
0.142929	16275.1
0.14697	15828
0.15101	15404.8
0.155051	15003.7
0.159091	14622.9
0.163131	14261
0.167172	13916.6
0.171212	13588.4
0.175253	13275.3
0.179293	12976.3
0.183333	12690.5
0.187374	12417.1
0.191414	12155.1
0.195455	11904
0.199495	11663
0.203535	11431.6
0.207576	11209.2
0.211616	10995.3
0.215657	10789.5
0.219697	10591.1
0.223737	10400
0.227778	10215.6
0.231818	10037.6
0.235859	9865.75
0.239899	9699.67
0.243939	9539.09
0.24798	9383.73
0.25202	9233.36
0.256061	9087.73
0.260101	8946.63
0.264141	8809.83
0.268182	8677.16
0.272222	8548.43
0.276263	8423.46
0.280303	8302.09
0.284343	8184.17
0.288384	8069.55
0.292424	7958.09
0.296465	7849.68
0.300505	7744.18
0.304545	7641.47
0.308586	7541.46
0.312626	7444.03
0.316667	7349.08
0.320707	7256.53
0.324747	7166.28
0.328788	7078.24
0.332828	6992.34
0.336869	6908.51
0.340909	6826.66
0.344949	6746.72
0.34899	6668.64
0.35303	6592.34
0.357071	6517.77
0.361111	6444.87
0.365152	6373.58
0.369192	6303.85
0.373232	6235.62
0.377273	6168.86
0.381313	6103.52
0.385354	6039.54
0.389394	5976.89
0.393434	5915.53
0.397475	5855.42
0.401515	5796.51
0.405556	5738.78
0.409596	5682.18
0.413636	5626.7
0.417677	5572.28
0.421717	5518.91
0.425758	5466.55
0.429798	5415.17
0.433838	5364.75
0.437879	5315.27
0.441919	5266.68
0.44596	5218.98
0.45	5172.13
