V(m³/mol)	P(Pa)
0.05	51447.5
0.0540404	47608.1
0.0580808	44301.9
0.0621212	41425
0.0661616	38899.1
0.070202	36663.4
0.0742424	34670.8
0.0782828	32883.6
0.0823232	31271.6
0.0863636	29810.3
0.090404	28479.5
0.0944444	27262.4
0.0984848	26145
0.102525	25115.7
0.106566	24164.3
0.110606	23282.4
0.114646	22462.6
0.118687	21698.5
0.122727	20984.8
0.126768	20316.4
0.130808	19689.4
0.134848	19099.9
0.138889	18544.6
0.142929	18020.8
0.14697	17525.7
0.15101	17057.1
0.155051	16612.9
0.159091	16191.2
0.163131	15790.5
0.167172	15409
0.171212	15045.6
0.175253	14698.9
0.179293	14367.9
0.183333	14051.4
0.187374	13748.6
0.191414	13458.5
0.195455	13180.4
0.199495	12913.6
0.203535	12657.4
0.207576	12411.1
0.211616	12174.3
0.215657	11946.3
0.219697	11726.7
0.223737	11515
0.227778	11310.9
0.231818	11113.8
0.235859	10923.5
0.239899	10739.6
0.243939	10561.8
0.24798	10389.8
0.25202	10223.3
0.256061	10062
0.260101	9905.77
0.264141	9754.31
0.268182	9607.4
0.272222	9464.86
0.276263	9326.48
0.280303	9192.1
0.284343	9061.53
0.288384	8934.61
0.292424	8811.21
0.296465	8691.16
0.300505	8574.34
0.304545	8460.62
0.308586	8349.88
0.312626	8242
0.316667	8136.87
0.320707	8034.39
0.324747	7934.46
0.328788	7836.99
0.332828	7741.88
0.336869	7649.05
0.340909	7558.42
0.344949	7469.91
0.34899	7383.46
0.35303	7298.98
0.357071	7216.41
0.361111	7135.69
0.365152	7056.75
0.369192	6979.55
0.373232	6904.01
0.377273	6830.09
0.381313	6757.74
0.385354	6686.9
0.389394	6617.53
0.393434	6549.59
0.397475	6483.03
0.401515	6417.81
0.405556	6353.89
0.409596	6291.22
0.413636	6229.79
0.417677	6169.54
0.421717	6110.44
0.425758	6052.47
0.429798	5995.58
0.433838	5939.76
0.437879	5884.96
0.441919	5831.17
0.44596	5778.35
0.45	5726.48
