V(m³/mol)	P(Pa)
0.0330549445	100183.5904655415
0.0130726292	251677.5366596067
0.0080793632	404543.7777897827
0.0058140970	558422.9240833397
0.0045207360	713355.6498483665
0.0036841337	869392.0089182240
0.0030985196	1026591.3518883258
0.0026655691	1185022.6294623928
0.0023323705	1344765.0971862944
0.0020679210	1505908.6106733708
0.0018528520	1668553.2577936375
0.0016744418	1832808.0560347382
0.0015239936	1998786.7937790286
0.0013953652	2166601.8494493514
0.0012841013	2336354.4471469480
0.0011868984	2508121.5851388574
0.0011012606	2681943.4290579883
0.0010252713	2857811.1680275039
0.0009574352	3035662.2977723149
0.0008965672	3215382.1668122625
0.0008417124	3396813.5702805845
0.0007920887	3579770.5175012792
0.0007470452	3764055.2097663679
0.0007060335	3949469.2059207670
0.0006685863	4135824.9608189217
0.0006343018	4322954.3701754715
0.0006028331	4510708.2150568049
0.0005738787	4698961.1408691965
0.0005471756	4887611.6460762192
0.0005224940	5076578.6594170509
0.0004996322	5265802.9864803553
0.0004784128	5455245.0761662209
0.0004586794	5644883.3624600116
0.0004402936	5834714.7081029704
0.0004231329	6024750.2059889724
0.0004070884	6215016.4417205099
0.0003920629	6405556.6360638132
0.0003779700	6596422.1794812065
0.0003647320	6787682.0740585392
0.0003522793	6979415.8983177105
0.0003405495	7171711.6223562313
0.0003294861	7364672.5368893752
0.0003190382	7558410.2652878575
0.0003091599	7753043.0836273599
0.0002998094	7948702.1897085402
0.0002909486	8145530.8163859285
0.0002825433	8343669.8327370714
0.0002745617	8543283.1922606062
0.0002669754	8744526.3508343324
0.0002597578	8947578.9126004241
0.0002528851	9152611.3372161016
0.0002463350	9359814.6142982598
0.0002400873	9569376.9712609872
0.0002341233	9781496.2289003991
0.0002284258	9996374.7134206817
0.0002229789	10214221.1578769553
0.0002177679	10435249.7481835950
0.0002127792	10659679.4749945477
0.0002080003	10887728.9862688221
0.0002034195	11119625.8390649781
0.0001990260	11355597.8728846349
0.0001948097	11595879.3314219061
0.0001907613	11840701.2885102779
0.0001868721	12090298.7452498786
0.0001831340	12344907.1631883327
0.0001795393	12604773.0192363579
0.0001760811	12870121.3832171801
0.0001727527	13141195.3860113882
0.0001695480	13418222.9375873487
0.0001664612	13701436.7536976952
0.0001634869	13991062.9591816645
0.0001606200	14287326.8850980345
0.0001583730	14532345.2424749155
0.0001566546	14727925.4147182629
0.0001550136	14921770.1965547353
0.0001534448	15113929.1425650045
0.0001519434	15304455.2631230094
0.0001505050	15493400.1651881039
0.0001491256	15680808.7016377784
0.0001478014	15866741.7018913329
0.0001465290	16051244.8731722645
0.0001453053	16234357.4283181429
0.0001441274	16416123.1439391524
0.0001429925	16596603.9546815120
0.0001418983	16775813.0896861292
0.0001408424	16953807.5016846843
0.0001398227	17130621.5333516411
0.0001388372	17306297.2743088715
0.0001378842	17480846.3306068182
0.0001369619	17654319.8861783072
0.0001360687	17826753.6163372062
0.0001352032	17998163.7450585477
0.0001343640	18168584.0791140199
0.0001335498	18338045.7871433236
0.0001327594	18506575.6551800631
0.0001319917	18674194.2603644468
0.0001312456	18840936.6753051579
0.0001305202	19006806.8317644112
0.0001298144	19171867.4878460318
0.0001291276	19336076.7701287642
