V(m³/mol)	P(Pa)
0.0248788	99986.5
0.00989271	248730
0.0061557	392315
0.00445835	527812
0.00348883	653134
0.00286167	767259
0.00242274	870367
0.00209838	963901
0.00184892	1.05065e+06
0.0016511	1.13482e+06
0.00149041	1.22226e+06
0.00135728	1.32092e+06
0.0012452	1.44154e+06
0.00114955	1.59906e+06
0.00106695	1.81507e+06
0.00099492	2.122e+06
0.00093155	2.57147e+06
0.00087537	3.25089e+06
0.00082523	4.3206e+06
0.0007802	6.10856e+06
0.00073955	9.39836e+06
0.00070266	1.66226e+07
0.00066904	4.08062e+07
0.00063828	-5.79884e+08
0.00061002	-4.99811e+07
0.00058398	-3.14144e+07
0.00055991	-2.59326e+07
0.00053759	-2.41812e+07
0.00051684	-2.42973e+07
0.0004975	-2.58276e+07
0.00047944	-2.88824e+07
0.00046253	-3.41093e+07
0.00044667	-4.32108e+07
0.00043176	-6.11514e+07
0.00041773	-1.09347e+08
0.0004045	-6.01686e+08
0.000392	1.66918e+08
0.00038017	7.28074e+07
0.00036898	4.65043e+07
0.00035835	3.41703e+07
0.00034827	2.70432e+07
0.00033867	2.2406e+07
0.00032955	1.91584e+07
0.00032085	1.67576e+07
0.00031255	1.49129e+07
0.00030463	1.34527e+07
0.00029706	1.22683e+07
0.00028982	1.12886e+07
0.00028289	1.04649e+07
0.00027625	9.76269e+06
0.00026989	9.1571e+06
0.00026378	8.629e+06
0.00025792	8.1647e+06
0.00025228	7.75283e+06
0.00024687	7.38537e+06
0.00024166	7.05506e+06
0.00023665	6.75665e+06
0.00023182	6.48549e+06
0.00022717	6.23807e+06
0.00022269	6.01134e+06
0.00021837	5.80271e+06
0.0002142	5.61001e+06
0.00021017	5.4314e+06
0.00020629	5.26553e+06
0.00020253	5.11079e+06
0.0001989	4.96621e+06
0.00019539	4.83075e+06
0.00019199	4.7035e+06
0.00018871	4.58382e+06
0.00018553	4.47092e+06
0.00018245	4.36424e+06
0.00017947	4.26328e+06
0.00017658	4.16754e+06
0.00017378	4.07663e+06
0.00017107	3.99019e+06
0.00016844	3.90785e+06
0.00016588	3.82927e+06
0.00016341	3.75431e+06
0.000161	3.68257e+06
0.00015867	3.61394e+06
0.00015641	3.54819e+06
0.00015421	3.48509e+06
0.00015207	3.42449e+06
0.00015	3.36628e+06
0.00014798	3.31025e+06
0.00014602	3.25631e+06
0.00014411	3.20431e+06
0.00014226	3.15419e+06
0.00014045	3.10577e+06
0.0001387	3.05904e+06
0.00013699	3.01385e+06
0.00013533	2.97016e+06
0.00013372	2.92788e+06
0.00013214	2.8869e+06
0.00013061	2.84721e+06
0.00012912	2.80872e+06
0.00012766	2.77135e+06
0.00012625	2.73512e+06
0.00012486	2.69988e+06
0.00012352	2.66568e+06
