V(m³/mol)	P(Pa)
0.0372592348	100133.7116763380
0.0147801321	251349.1442181423
0.0091746085	403186.1185504550
0.0066285858	555655.7606828143
0.0051743033	708769.3676883884
0.0042335566	862538.4035828199
0.0035751809	1016974.3977586752
0.0030886541	1172089.1103751068
0.0027144779	1327894.3211034825
0.0024177798	1484401.8979253399
0.0021767672	1641623.8882746648
0.0019771210	1799572.2607483803
0.0018090448	1958259.0311168698
0.0016656100	2117696.2382980129
0.0015417780	2277895.9214074770
0.0014337970	2438869.9796492932
0.0013388159	2600630.1271400792
0.0012546293	2763187.9432198089
0.0011795045	2926554.9008533577
0.0011120613	3090742.3759565204
0.0010511870	3255760.8069479261
0.0009959743	3421620.6041914118
0.0009456759	3588332.5041957265
0.0008996714	3755905.0050345748
0.0008574407	3924347.4886266440
0.0008185450	4093668.0738064270
0.0007826114	4263874.1396222962
0.0007493209	4434972.7169975247
0.0007183993	4606968.7511880193
0.0006896093	4779866.9142564833
0.0006627446	4953670.8817805098
0.0006376251	5128382.5479072221
0.0006140928	5304002.4720351379
0.0005920085	5480529.8927438827
0.0005712490	5657963.3895509308
0.0005517052	5836297.6608252963
0.0005332796	6015528.7378494842
0.0005158855	6195646.4926550491
0.0004994448	6376642.7973543778
0.0004838875	6558505.0413702894
0.0004691504	6741219.3940149900
0.0004551763	6924770.5752466097
0.0004419135	7109138.8952032784
0.0004293149	7294303.7985660527
0.0004173375	7480243.7072212100
0.0004059423	7666930.1927438322
0.0003950932	7854339.0057466086
0.0003847574	8042437.8388277395
0.0003749046	8231194.3376777805
0.0003655067	8420577.3651315719
0.0003565380	8610548.3787045702
0.0003479746	8801068.9347851444
0.0003397943	8992099.3004158866
0.0003319764	9183599.5848215874
0.0003245017	9375526.3863534555
0.0003173522	9567837.1084085591
0.0003105111	9760487.3167471178
0.0003039627	9953430.6376691498
0.0002976922	10146622.1258910578
0.0002916857	10340016.2779574506
0.0002859301	10533568.1236417666
0.0002804132	10727227.6644781195
0.0002751232	10920955.4961328842
0.0002700492	11114703.7837910932
0.0002651807	11308432.8654149659
0.0002605080	11502094.3697585277
0.0002560217	11695649.6919929907
0.0002517128	11889065.8922254331
0.0002475732	12082291.3901747875
0.0002435947	12275300.1045143232
0.0002397697	12468059.2008766979
0.0002360913	12660520.7991119046
0.0002325524	12852667.4627959225
0.0002291466	13044465.0934765618
0.0002258677	13235887.9681661706
0.0002227099	13426906.6660187691
0.0002196676	13617498.8011698909
0.0002167356	13807635.8160664551
0.0002139086	13997314.7307505999
0.0002111821	14186497.8282609005
0.0002085514	14375178.2408007868
0.0002060122	14563338.9439701177
0.0002035604	14750965.3115415592
0.0002011921	14938044.3663113471
0.0001989035	15124572.1965442728
0.0001966912	15310528.6607847381
0.0001945517	15495917.7060909308
0.0001924820	15680715.7259001676
0.0001904788	15864940.9257987160
0.0001885395	16048562.6173332278
0.0001866612	16231591.7065560091
0.0001848413	16414025.0155174993
0.0001830774	16595852.6553939711
0.0001813670	16777088.4423991852
0.0001797080	16957717.1937557980
0.0001780983	17137735.1514603198
0.0001765357	17317162.4989830963
0.0001750183	17495998.0064603835
0.0001735444	17674227.5576906651
0.0001721122	17851859.4983315244
