V(m³/mol)	P(Pa)
0.0248392	100000
0.00989362	249475
0.00614697	398950
0.00444232	548425
0.00346761	697900
0.00283655	847375
0.00239455	996850
0.00206764	1.14633e+06
0.00181599	1.2958e+06
0.00161625	1.44528e+06
0.0014538	1.59475e+06
0.00131906	1.74423e+06
0.00120546	1.8937e+06
0.00110836	2.04318e+06
0.00102438	2.19265e+06
0.000950992	2.34213e+06
0.000886293	2.4916e+06
0.000828801	2.64108e+06
0.000777351	2.79055e+06
0.000731016	2.94003e+06
0.000689047	3.0895e+06
0.000650834	3.23898e+06
0.000615872	3.38845e+06
0.000583742	3.53793e+06
0.000554093	3.6874e+06
0.000526625	3.83688e+06
0.000501086	3.98635e+06
0.000477255	4.13583e+06
0.000454945	4.2853e+06
0.000433989	4.43478e+06
0.000414242	4.58425e+06
0.000395576	4.73373e+06
0.000377874	4.8832e+06
0.000361033	5.03268e+06
0.000344956	5.18215e+06
0.000329553	5.33163e+06
0.00031474	5.4811e+06
0.000300431	5.63058e+06
0.000286543	5.78005e+06
0.000272983	5.92953e+06
0.000259649	6.079e+06
0.000246416	6.22848e+06
0.000233116	6.37795e+06
0.000219495	6.52743e+06
0.00020511	6.6769e+06
0.000188941	6.82638e+06
0.000166686	6.97585e+06
0.000103718	6.97585e+06
9.82697e-05	7.13016e+06
9.52517e-05	7.28447e+06
9.30906e-05	7.43878e+06
9.13896e-05	7.59309e+06
8.99804e-05	7.7474e+06
8.87744e-05	7.90171e+06
8.77189e-05	8.05602e+06
8.67796e-05	8.21034e+06
8.59329e-05	8.36465e+06
8.5162e-05	8.51896e+06
8.44541e-05	8.67327e+06
8.37996e-05	8.82758e+06
8.31911e-05	8.98189e+06
8.26224e-05	9.1362e+06
8.20886e-05	9.29051e+06
8.15857e-05	9.44482e+06
8.11104e-05	9.59913e+06
8.06597e-05	9.75344e+06
8.02313e-05	9.90775e+06
7.9823e-05	1.00621e+07
7.94332e-05	1.02164e+07
7.90602e-05	1.03707e+07
7.87026e-05	1.0525e+07
7.83593e-05	1.06793e+07
7.80292e-05	1.08336e+07
7.77113e-05	1.09879e+07
7.74047e-05	1.11422e+07
7.71088e-05	1.12965e+07
7.68228e-05	1.14509e+07
7.6546e-05	1.16052e+07
7.6278e-05	1.17595e+07
7.60181e-05	1.19138e+07
7.5766e-05	1.20681e+07
7.55212e-05	1.22224e+07
7.52832e-05	1.23767e+07
7.50518e-05	1.2531e+07
7.48266e-05	1.26853e+07
7.46073e-05	1.28397e+07
7.43936e-05	1.2994e+07
7.41852e-05	1.31483e+07
7.39819e-05	1.33026e+07
7.37834e-05	1.34569e+07
7.35895e-05	1.36112e+07
7.34001e-05	1.37655e+07
7.32149e-05	1.39198e+07
7.30338e-05	1.40741e+07
7.28565e-05	1.42284e+07
7.2683e-05	1.43828e+07
7.25131e-05	1.45371e+07
7.23467e-05	1.46914e+07
7.21835e-05	1.48457e+07
7.20236e-05	1.5e+07
