V(m³/mol)	P(Pa)
0.0251496888	105173.6062660207
0.0099004920	264778.4825000406
0.0061291627	423843.0477231152
0.0044242200	581855.7528086315
0.0034535939	738603.1560292515
0.0028273583	893963.7089489049
0.0023900509	1047857.6849168028
0.0020675054	1200228.4843688924
0.0018198660	1351034.4895241591
0.0016238083	1500244.4711501051
0.0014647759	1647834.7540726713
0.0013332151	1793788.0130904883
0.0012225969	1938091.5228244199
0.0011283077	2080737.1444233002
0.0010469955	2221720.0732386126
0.0009761664	2361038.4630340319
0.0009139263	2498693.8913742797
0.0008588114	2634689.7176187919
0.0008096722	2769032.1396594117
0.0007655936	2901729.6167897498
0.0007258383	3032791.9632798298
0.0006898052	3162231.9134664913
0.0006569999	3290062.7544276016
0.0006270115	3416300.6854615342
0.0005994961	3540962.7800362417
0.0005741636	3664067.3983083921
0.0005507673	3785635.6562214820
0.0005290965	3905688.9138226165
0.0005089700	4024249.8183079064
0.0004902309	4141343.6501945117
0.0004727430	4256995.9132382404
0.0004563873	4371233.7736115055
0.0004410594	4484085.7757818829
0.0004266675	4595580.4433526509
0.0004131302	4705749.2797329472
0.0004003753	4814624.6296060067
0.0003883387	4922238.1699140202
0.0003769629	5028624.7542171441
0.0003661966	5133818.0215102620
0.0003559933	5237856.5894166129
0.0003463116	5340774.6780543709
0.0003371136	5442612.7742826957
0.0003283654	5543407.3237453680
0.0003200358	5643200.5679906933
0.0003120968	5742030.7085405095
0.0003045226	5839940.0309738936
0.0002972896	5936971.8940158794
0.0002903764	6033167.4311035546
0.0002837632	6128570.7662709104
0.0002774318	6223226.6925775418
0.0002713655	6317179.7094693035
0.0002655489	6410474.7964010518
0.0002599677	6503158.6488991901
0.0002546087	6595277.9279701002
0.0002494598	6686877.3446514597
0.0002445095	6778006.9270084072
0.0002397474	6868711.6564488551
0.0002351636	6959041.0793607635
0.0002307489	7049044.5817545401
0.0002264950	7138765.7491808115
0.0002223937	7228257.8955386719
0.0002184376	7317568.5999125326
0.0002146198	7406744.7321257237
0.0002109338	7495833.8194020046
0.0002073733	7584888.3546655271
0.0002039327	7673952.6545123905
0.0002006065	7763076.9380434304
0.0001973896	7852309.2023967318
0.0001942772	7941697.0344071724
0.0001912648	8031286.8899737485
0.0001883481	8121126.4247090816
0.0001855231	8211260.9103781376
0.0001827859	8301739.0040137433
0.0001801330	8392602.4306198806
0.0001775609	8483898.6957318392
0.0001750663	8575674.2791951206
0.0001726463	8667966.2645933684
0.0001702978	8760824.3859101497
0.0001680182	8854283.8957129065
0.0001658047	8948392.8050485663
0.0001636549	9043187.1266121380
0.0001615663	9138711.5952200722
0.0001595368	9234996.9713407103
0.0001575641	9332087.2347122468
0.0001556462	9430015.9841933474
0.0001537810	9528825.8279008958
0.0001519668	9628541.9833954163
0.0001502017	9729203.6461409237
0.0001484840	9830842.5344992820
0.0001468120	9933493.8214412108
0.0001451842	10037183.7419794872
0.0001435991	10141941.2649653200
0.0001420552	10247798.6164060738
0.0001405511	10354784.6084541045
0.0001390856	10462916.3989834152
0.0001376572	10572236.2524338402
0.0001362649	10682751.6492660157
0.0001349075	10794487.2672899216
0.0001335837	10907479.7108445168
0.0001322926	11021734.6239991635
