V(m³/mol)	P(Pa)
0.0206925292	107420.2872381813
0.0081338265	269139.3060170204
0.0050213704	429230.9298180742
0.0036130981	587163.9229500985
0.0028111474	742631.6823312714
0.0022937511	895417.1718500103
0.0019325171	1045352.1544176254
0.0016661596	1192299.4769513691
0.0014617329	1336143.7176618325
0.0012999520	1476785.7916194345
0.0011687796	1614139.5003807682
0.0010603152	1748129.0371949740
0.0009691591	1878687.8749371583
0.0008914963	2005757.0083615035
0.0008245550	2129284.5998651488
0.0007662731	2249225.2859537294
0.0007150848	2365539.9258381766
0.0006697800	2478194.9391467664
0.0006294089	2587161.8497069469
0.0005932151	2692418.8541614991
0.0005605897	2793947.6644203216
0.0005310360	2891737.3792957463
0.0005041459	2985780.2778007146
0.0004795800	3076076.0666703228
0.0004570545	3162628.6281838384
0.0004363299	3245447.9107160280
0.0004172028	3324549.5166589022
0.0003994994	3399954.6695114537
0.0003830702	3471690.9342077631
0.0003677860	3539791.8933369187
0.0003535344	3604298.1711802371
0.0003402175	3665255.8996958127
0.0003277494	3722718.3025753563
0.0003160543	3776746.3910345584
0.0003050653	3827407.8419201551
0.0002947231	3874777.4877076326
0.0002849750	3918937.3749499796
0.0002757736	3959978.8991551483
0.0002670768	3997999.6631801026
0.0002588466	4033106.2480495935
0.0002510488	4065413.3156729508
0.0002436525	4095043.9297997337
0.0002366297	4122129.6784257358
0.0002299551	4146810.2248501731
0.0002236055	4169234.4943304630
0.0002175599	4189559.3425028287
0.0002117991	4207950.1898372024
0.0002063054	4224581.2132553831
0.0002010628	4239634.0542403106
0.0001960563	4253299.2439861987
0.0001912722	4265774.6216805894
0.0001866982	4277264.5456872508
0.0001823223	4287981.9974048920
0.0001781340	4298144.8369939607
0.0001741232	4307977.7860529386
0.0001702807	4317710.3834563717
0.0001665978	4327577.1206956524
0.0001630665	4337816.0309201069
0.0001596794	4348667.8906777017
0.0001564294	4360376.1287905462
0.0001533101	4373184.3622705676
0.0001503152	4387337.5020182300
0.0001474390	4403078.6227153316
0.0001446762	4420648.1825752296
0.0001420215	4440285.4816312715
0.0001394703	4462222.6636505239
0.0001370180	4486688.2059176788
0.0001346602	4513904.9100257233
0.0001323930	4544084.8187516853
0.0001302125	4577433.4570787400
0.0001281149	4614148.7572004311
0.0001260969	4654412.6491659842
0.0001241550	4698402.6131718121
0.0001222862	4746276.7988831103
0.0001204874	4798186.1018234305
0.0001187557	4854267.0778986998
0.0001170884	4914640.1687762439
0.0001154828	4979416.0783726871
0.0001139363	5048693.1321364231
0.0001124466	5122546.9867068492
0.0001110113	5201048.4442336299
0.0001096281	5284255.9315708168
0.0001082950	5372201.7876763269
0.0001070098	5464923.6159590818
0.0001057705	5562440.7189247943
0.0001045753	5664750.7013675608
0.0001034223	5771854.3568481989
0.0001023098	5883731.2100140974
0.0001012360	6000368.8155581690
0.0001001993	6121733.9127221704
0.0000991983	6247767.3558057696
0.0000982313	6378448.1098708138
0.0000972969	6513721.0860898271
0.0000963939	6653502.1725048125
0.0000955208	6797756.3116197214
0.0000946763	6946426.0349939317
0.0000938594	7099404.9263366610
0.0000930687	7256666.8541846424
0.0000923033	7418097.5499732643
0.0000915620	7583651.0699660331
